"GUIDELINE
2025-2026
Madhya Pradesh Government",,,,,,,,,,,,,,,,,
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1612,MOHANGAD,600,900,600,"6,600","4,600","3,400","3,000","9,300","8,100","8,100",0,0,"10,41,250","10,41,250",600,900
"Tehsil : BHITARWAR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00045",,,,,,,,,,,,,,,,,
1613,CHIROLI,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"7,24,500","7,24,500",515,760
1614,KHADOAA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,91,950","6,91,950",420,630
1615,RAIPURSANI,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"8,96,700","8,96,700",470,690
1616,RAMJIPURA,480,720,480,"6,480","4,480","3,280","2,880","9,120","7,920","7,920",0,0,"7,90,800","7,90,800",480,720
"Tehsil : Bhitarwar, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00029",,,,,,,,,,,,,,,,,
1617,TAAL PURA,"1,500","2,250","1,500","7,500","5,500","4,300","3,900","10,900","9,300","9,300",0,0,"10,00,000","8,00,000","1,500","2,250"
"Tehsil : CHINOUR, Sub-Area : PLANNING AREA, Patwari Halka : 00033",,,,,,,,,,,,,,,,,
1618,CHINOR (ROAD SE 100 METAR BAD),"5,750","8,625","5,750","13,750","10,550","8,950","8,150","18,525","17,725","17,725",0,0,"9,23,750","9,23,750","5,750","8,625"
1619,CHINOR (ROAD SE 100 METAR TAK),"8,000","12,000","8,000","16,000","12,800","11,200","10,400","21,900","21,100","21,100",0,0,"11,00,000","11,00,000","8,000","12,000"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1620,AMROL,920,"1,400",920,"6,920","4,920","3,720","3,320","9,800","8,600","8,600",0,0,"16,68,000","15,98,000",920,"1,400"
1621,AMROL ROAD PAR,"2,300","3,400","2,300","8,300","6,300","5,100","4,700","11,800","10,600","10,600",0,0,"21,98,000","21,98,000","2,300","3,400"
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00002",,,,,,,,,,,,,,,,,
1622,PRAMPUR,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"7,25,550","7,25,550",470,690
1623,RAJOAA,505,770,505,"6,505","4,505","3,305","2,905","9,170","7,970","7,970",0,0,"8,74,500","7,97,500",505,770
1624,SIKRODA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","5,70,150",420,630
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00003",,,,,,,,,,,,,,,,,
1625,BADERA BHARAS,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","5,70,150",420,630
1626,BHARAS,480,720,480,"6,480","4,480","3,280","2,880","9,120","7,920","7,920",0,0,"7,44,000","7,21,200",480,720
1627,JUJHARPUR,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,61,500","6,31,050",420,630
1628,NIHONA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","5,70,150",420,630
1629,TODA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","5,70,150",420,630
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1630,ARAYA,575,875,575,"6,575","4,575","3,375","2,975","9,275","8,075","8,075",0,0,"9,93,750","9,06,250",575,875
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00006",,,,,,,,,,,,,,,,,
1631,CHAK KACHHOAA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"7,29,750","6,31,050",420,630
1632,KACHOAA,750,"1,125",750,"6,750","4,750","3,550","3,150","9,525","8,325","8,325",0,0,"8,75,000","7,50,000",750,"1,125"
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00007",,,,,,,,,,,,,,,,,
1633,BAJERA (HAIWAY ROAD PAR),"4,300","6,600","4,300","10,300","8,300","7,100","6,700","15,000","13,800","13,800",0,0,"59,88,000","59,88,000","4,300","6,600"
1634,BAJERA (ROAD KA DOOR),"1,800","2,700","1,800","7,800","5,800","4,600","4,200","11,100","9,900","9,900",0,0,"30,00,000","27,14,000","1,800","2,700"
1635,BAJHERA GRAMID ROAD PAR,"3,000","4,500","3,000","9,000","7,000","5,800","5,400","12,900","11,700","11,700",0,0,"38,98,000","38,98,000","3,000","4,500"
1636,GAJANAN BIHAR AVM DEFENCE COLONY BAJHERA,"4,300","6,600","4,300","10,300","8,300","7,100","6,700","15,000","13,800","13,800",0,0,"59,88,000","59,88,000","4,300","6,600"
1637,KIRATPUR,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"8,38,200","7,60,100",495,725
1638,LADWAYA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","5,70,150",420,630
1639,MANPUR,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","5,70,150",420,630
1640,PIPRIPUR,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,91,950","6,31,050",420,630
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1641,BHARTHARI,690,"1,035",690,"6,690","4,690","3,490","3,090","9,435","8,235","8,235",0,0,"15,81,250","15,81,250",690,"1,035"
1642,BHARTHARI (HAIWAY ROAD PAR),"2,070","3,105","2,070","8,070","6,070","4,870","4,470","11,505","10,305","10,305",0,0,"34,43,100","34,43,100","2,070","3,105"
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00009",,,,,,,,,,,,,,,,,
1643,PHATEHAPUR,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"9,00,450","9,00,450",515,760
1644,PURI,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"7,60,100","6,93,000",495,725
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00010",,,,,,,,,,,,,,,,,
1645,BADKISARAY,550,840,550,"6,550","4,550","3,350","2,950","9,240","8,040","8,040",0,0,"10,51,200","10,51,200",550,840
1646,KHEDI DABARIYA,460,690,460,"6,460","4,460","3,260","2,860","9,090","7,890","7,890",0,0,"8,59,050","8,59,050",460,690
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00011",,,,,,,,,,,,,,,,,
1647,KHERWAYA,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"8,75,150","8,75,150",515,760
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00012",,,,,,,,,,,,,,,,,
1648,PIPROO,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"7,25,550","7,25,550",470,690
1649,SAMAYA,560,825,560,"6,560","4,560","3,360","2,960","9,225","8,025","8,025",0,0,"9,78,750","9,78,750",560,825
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1650,BHEGNA,900,"1,320",900,"6,900","4,900","3,700","3,300","9,720","8,520","8,520",0,0,"13,82,000","13,82,000",900,"1,320"
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00014",,,,,,,,,,,,,,,,,
1651,KHENTHI,540,790,540,"6,540","4,540","3,340","2,940","9,190","7,990","7,990",0,0,"8,53,200","8,53,200",540,790
1652,PERA,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"7,82,100","7,82,100",495,725
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00015",,,,,,,,,,,,,,,,,
1653,KISHANPUR,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"8,76,300","8,76,300",515,760
1654,KURDPAR,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"7,60,100","7,60,100",495,725
1655,MOHAMADPUR,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"6,28,300","6,28,300",400,600
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00016",,,,,,,,,,,,,,,,,
1656,BADERA JEEL,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"5,72,900","5,26,200",400,600
1657,BHORI,600,900,600,"6,600","4,600","3,400","3,000","9,300","8,100","8,100",0,0,"10,37,500","8,67,500",600,900
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1658,CHAK SHANKARPUR,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"7,98,100","7,21,050",515,760
1659,CHAK SHANKARPUR ROAD PAR,"1,265","1,895","1,265","7,265","5,265","4,065","3,665","10,295","9,095","9,095",0,0,"9,57,950","9,57,950","1,265","1,895"
1660,JANKRI,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"7,94,650","7,24,500",515,760
1661,JHANKARI ROAD PAR,"1,265","1,895","1,265","7,265","5,265","4,065","3,665","10,295","9,095","9,095",0,0,"10,01,650","10,01,650","1,265","1,895"
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00018",,,,,,,,,,,,,,,,,
1662,PIPROAA,525,805,525,"6,525","4,525","3,325","2,925","9,205","8,005","8,005",0,0,"9,18,850","8,29,150",525,805
1663,PIPROUAA ROAD PAR,"1,320","1,955","1,320","7,320","5,320","4,120","3,720","10,355","9,155","9,155",0,0,"11,50,000","11,50,000","1,320","1,955"
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00019",,,,,,,,,,,,,,,,,
1664,GUJAR BANWARI,440,660,440,"6,440","4,440","3,240","2,840","9,060","7,860","7,860",0,0,"7,24,900","5,97,300",440,660
1665,HIMMATGHAR,540,790,540,"6,540","4,540","3,340","2,940","9,190","7,990","7,990",0,0,"8,29,200","6,82,800",540,790
1666,RAWAT BANWARI,440,660,440,"6,440","4,440","3,240","2,840","9,060","7,860","7,860",0,0,"6,61,100","5,97,300",440,660
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1667,AMARGHA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,91,950","6,31,050",420,630
1668,DHIROLI,440,660,440,"6,440","4,440","3,240","2,840","9,060","7,860","7,860",0,0,"7,24,900","6,61,100",440,660
1669,MANIKPUR,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,91,950","6,31,050",420,630
1670,SRAIPURA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,01,545","5,43,270",420,630
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00021",,,,,,,,,,,,,,,,,
1671,MAUCH,540,790,540,"6,540","4,540","3,340","2,940","9,190","7,990","7,990",0,0,"9,13,200","8,32,800",540,790
1672,NIKODI,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"8,22,150","8,22,150",470,690
1673,RICHERA,675,990,675,"6,675","4,675","3,475","3,075","9,390","8,190","8,190",0,0,"10,36,500","9,45,000",675,990
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00022",,,,,,,,,,,,,,,,,
1674,BANWAR,625,935,625,"6,625","4,625","3,425","3,025","9,335","8,135","8,135",0,0,"13,22,500","12,38,750",625,935
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00023",,,,,,,,,,,,,,,,,
1675,URWAA,575,875,575,"6,575","4,575","3,375","2,975","9,275","8,075","8,075",0,0,"9,06,250","8,18,750",575,875
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1676,BARNI,550,840,550,"6,550","4,550","3,350","2,950","9,140","7,940","7,940",0,0,"8,70,000","7,86,000",550,840
1677,PURABANWAR,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"8,94,300","8,38,200",495,725
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00025",,,,,,,,,,,,,,,,,
1678,BHIMBADA,560,825,560,"6,560","4,560","3,360","2,960","9,225","8,025","8,025",0,0,"8,63,750","7,87,500",560,825
1679,CHIDA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","5,70,150",420,630
1680,KAKRGHA,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"7,60,100","6,93,000",495,725
1681,SURAJPUR,540,790,540,"6,540","4,540","3,340","2,940","9,190","7,990","7,990",0,0,"8,29,200","7,56,000",540,790
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00026",,,,,,,,,,,,,,,,,
1682,DABRITANKA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,01,545","5,43,270",420,630
1683,DUBHATANKA,625,935,625,"6,625","4,625","3,425","3,025","9,335","8,135","8,135",0,0,"10,20,000","9,30,000",625,935
1684,SHYAMPUR,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"6,28,300","5,72,900",400,600
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1685,DUBHI,600,900,600,"6,600","4,600","3,400","3,000","9,300","8,100","8,100",0,0,"10,37,500","9,46,250",600,900
1686,NAYAGAON TANKA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,31,050","6,31,050",420,630
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00028",,,,,,,,,,,,,,,,,
1687,KARAHIYA (ROAD SAY 100 METAR BAD),"3,585","5,375","3,585","9,585","7,585","6,385","5,985","13,775","12,575","12,575",0,0,"12,20,000","10,37,500","3,585","5,375"
1688,KARAHIYA (ROAD SAY 100 METAR TAK),"4,185","6,250","4,185","10,185","8,185","6,985","6,585","14,850","13,450","13,450",0,0,"12,50,000","11,43,750","4,185","6,250"
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00029",,,,,,,,,,,,,,,,,
1689,ITMA,575,875,575,"6,575","4,575","3,375","2,975","9,275","8,075","8,075",0,0,"12,87,500","12,87,500",575,875
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00030",,,,,,,,,,,,,,,,,
1690,CHAK MEHGOAN,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"8,96,700","7,62,300",420,630
1691,MEHAGAON,575,875,575,"6,575","4,575","3,375","2,975","9,275","8,075","8,075",0,0,"11,70,000","9,93,750",575,875
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1692,BHADESWAR,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"8,53,650","8,53,650",470,690
1693,NONEWAR,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"7,76,160","7,76,160",420,630
1694,SIRSULA,505,770,505,"6,505","4,505","3,305","2,905","9,170","7,970","7,970",0,0,"7,94,200","7,94,200",505,770
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00032",,,,,,,,,,,,,,,,,
1695,GADISALAMPUR,480,735,480,"6,480","4,480","3,280","2,880","9,135","7,935","7,935",0,0,"7,58,100","7,58,100",480,735
1696,KISHORGHAR,515,760,515,"6,515","4,515","3,315","2,915","9,160","7,960","7,960",0,0,"10,53,400","10,53,400",515,760
1697,TAKPUR,440,660,440,"6,440","4,440","3,240","2,840","9,060","7,860","7,860",0,0,"8,00,800","8,00,800",440,660
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00034",,,,,,,,,,,,,,,,,
1698,RAUAA,550,840,550,"6,550","4,550","3,350","2,950","9,240","8,040","8,040",0,0,"10,51,200","10,51,200",550,840
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00035",,,,,,,,,,,,,,,,,
1699,GHARSONDI,720,"1,080",720,"6,720","4,720","3,520","3,120","9,480","8,280","8,280",0,0,"14,98,000","14,98,000",720,"1,080"
1700,GHARSONDI ROAD PAR,"1,800","2,700","1,800","7,800","5,800","4,600","4,200","11,100","9,900","9,900",0,0,"20,98,800","20,98,800","1,800","2,700"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1701,NONKISARAY,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"6,59,715","6,59,715",420,630
1702,SHAKHPURA,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"8,00,100","8,00,100",470,690
1703,SHEKHUPUR ROAD PAR,"1,155","1,730","1,155","7,155","5,155","3,955","3,555","10,130","8,930","8,930",0,0,"9,61,800","9,61,800","1,155","1,730"
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00037",,,,,,,,,,,,,,,,,
1704,GIJORRA,400,600,400,"6,400","4,400","3,200","2,800","9,000","7,800","7,800",0,0,"6,28,300","6,28,300",400,600
1705,MAINA,506,770,506,"6,506","4,506","3,306","2,906","9,170","7,970","7,970",0,0,"8,76,700","8,76,700",506,770
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00038",,,,,,,,,,,,,,,,,
1706,BARKHADA,500,750,500,"6,500","4,500","3,300","2,900","9,150","7,950","7,950",0,0,"8,23,750","8,23,750",500,750
1707,DONI,495,725,495,"6,495","4,495","3,295","2,895","9,125","7,925","7,925",0,0,"7,60,100","7,60,100",495,725
"Tehsil : CHINOUR, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00039",,,,,,,,,,,,,,,,,
1708,DOULATPUR,575,860,575,"6,575","4,575","3,375","2,975","9,260","8,060","8,060",0,0,"11,39,650","11,39,650",575,860
1709,RIJORA,420,630,420,"6,420","4,420","3,220","2,820","9,030","7,830","7,830",0,0,"8,30,550","8,30,550",420,630
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1710,BARGAWAN,470,690,470,"6,470","4,470","3,270","2,870","9,090","7,890","7,890",0,0,"7,46,550","7,46,550",470,690
1711,PACHORA,505,770,505,"6,505","4,505","3,305","2,905","9,170","7,970","7,970",0,0,"8,76,700","8,76,700",505,770
"Tehsil : Citycenter, Sub-Area : PLANNING AREA, Patwari Halka : 00006",,,,,,,,,,,,,,,,,
1712,BANDHOLI,"1,200","1,800","1,200","7,200","5,200","4,000","3,600","12,600","11,300","9,800","5,760","10,080","50,00,000","30,00,000","1,200","1,800"
"Tehsil : Citycenter, Sub-Area : PLANNING AREA, Patwari Halka : 00007",,,,,,,,,,,,,,,,,
1713,SONSA,"1,200","1,800","1,200","7,200","5,200","4,000","3,600","12,600","11,300","9,800","5,760","10,080","50,00,000","30,00,000","1,200","1,800"
"Tehsil : Citycenter, Sub-Area : PLANNING AREA, Patwari Halka : 00018",,,,,,,,,,,,,,,,,
1714,RORA,"3,000","4,500","3,000","9,000","7,000","5,800","5,400","15,300","14,000","12,500","7,200","12,240","50,00,000","50,00,000","3,000","4,500"
"Tehsil : Citycenter, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00019",,,,,,,,,,,,,,,,,
1715,BANDHA,"1,200","1,800","1,200","7,200","5,200","4,000","3,600","12,600","11,300","9,800","5,760","10,080","12,00,000","8,00,000","1,200","1,800"
1716,BHATPURASAANI,"1,200","1,800","1,200","7,200","5,200","4,000","3,600","12,600","11,300","9,800","5,760","10,080","10,00,000","8,00,000","1,200","1,800"
"Tehsil : Citycenter, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00020",,,,,,,,,,,,,,,,,
1717,UTILA,"1,500","2,250","1,500","7,500","5,500","4,300","3,900","13,050","11,750","10,250","6,000","10,440","2,00,00,000","15,00,000","1,500","2,250"
S.No.,Guideline Place,PLOT (SQM),,,BUILDING RESIDENTIAL (SQM),,,,BUILDING COMMERCIAL (SQM),,,BUILDING MULTI(SQM),,AGRICULTURAL LAND(HECTARE),,AGRICULTURAL PLOT (SQM),
,,Residential,Commercial,Industrial,RCC,RBC,Tin Shade,Kaccha Kabelu,Shop,Office,Godown,Residential,Commercial,Irrigated,Un Irrigated,Sub Clause wise Residential,Sub Clause wise Commercial
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16,-17,-18
,,,,,,,,,,,,,,,,,
1718,GURRI,"1,500","2,250","1,500","7,500","5,500","4,300","3,900","13,050","11,750","10,250","6,000","10,440","7,00,000","6,00,000","1,500","2,250"
"Tehsil : Citycenter, Sub-Area : NON-PLANNING AREA, Patwari Halka : 00022",,,,,,,,,,,,,,,,,
1719,BASTARI,"1,500","2,250","1,500","7,500","5,500","4,300","3,900","13,050","11,750","10,250","6,000","10,440","20,00,000","15,00,000","1,500","2,250"
1720,DANGRAU,"1,000","1,500","1,000","7,000","5,000","3,800","3,400","12,300","11,000","9,500","5,600","9,840","15,00,000","12,00,000","1,000","1,500"
